TAIUTC       28     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
740222    2442100.500000000000      .561700    .07900   .18400
740223    2442101.500000000000      .558900    .07800   .18300
740224    2442102.500000000000      .556200    .07700   .18300
740225    2442103.500000000000      .553400    .07600   .18200
740226    2442104.500000000000      .550600    .07600   .18200
740227    2442105.500000000000      .547600    .07500   .18200
740228    2442106.500000000000      .544600    .07400   .18100
740301    2442107.500000000000      .541600    .07300   .18100
740302    2442108.500000000000      .538600    .07200   .18000
740303    2442109.500000000000      .535600    .07100   .18000
740304    2442110.500000000000      .532500    .07000   .18000
740305    2442111.500000000000      .529300    .06800   .18000
740306    2442112.500000000000      .526200    .06700   .18000
740307    2442113.500000000000      .523000    .06600   .18000
740308    2442114.500000000000      .519900    .06500   .18000
740309    2442115.500000000000      .516600    .06300   .17900
740310    2442116.500000000000      .513400    .06200   .17900
740311    2442117.500000000000      .510100    .06100   .17900
740312    2442118.500000000000      .506900    .05900   .17900
740313    2442119.500000000000      .503600    .05800   .17900
740314    2442120.500000000000      .500400    .05600   .17900
740315    2442121.500000000000      .497200    .05500   .17900
740316    2442122.500000000000      .494000    .05300   .18000
740317    2442123.500000000000      .490800    .05200   .18000
740318    2442124.500000000000      .487600    .05000   .18000
740319    2442125.500000000000      .484600    .04800   .18000
740320    2442126.500000000000      .481500    .04700   .18000
740321    2442127.500000000000      .478500    .04500   .18100
740322    2442128.500000000000      .475400    .04400   .18100
740323    2442129.500000000000      .472400    .04200   .18100
740324    2442130.500000000000      .469500    .04000   .18200
740325    2442131.500000000000      .466600    .03900   .18200
740326    2442132.500000000000      .463600    .03700   .18300
740327    2442133.500000000000      .460700    .03600   .18300
740328    2442134.500000000000      .457800    .03400   .18400
740329    2442135.500000000000      .454900    .03200   .18400
740330    2442136.500000000000      .452000    .03100   .18500
740331    2442137.500000000000      .449100    .02900   .18500
740401    2442138.500000000000      .446200    .02800   .18600
740402    2442139.500000000000      .443300    .02600   .18600
740403    2442140.500000000000      .440400    .02400   .18700
740404    2442141.500000000000      .437500    .02300   .18700
740405    2442142.500000000000      .434700    .02100   .18800
740406    2442143.500000000000      .431800    .02000   .18800
740407    2442144.500000000000      .428900    .01800   .18900
740408    2442145.500000000000      .425900    .01600   .19000
740409    2442146.500000000000      .422900    .01500   .19000
740410    2442147.500000000000      .419900    .01300   .19100
740411    2442148.500000000000      .416900    .01200   .19100
740412    2442149.500000000000      .413900    .01000   .19200
740413    2442150.500000000000      .410600    .00900   .19300
740414    2442151.500000000000      .407400    .00800   .19300
740415    2442152.500000000000      .404100    .00600   .19400
740416    2442153.500000000000      .400900    .00500   .19400
740417    2442154.500000000000      .397600    .00400   .19500
740418    2442155.500000000000      .394100    .00300   .19600
740419    2442156.500000000000      .390600    .00200   .19600
740420    2442157.500000000000      .387200    .00000   .19700
740421    2442158.500000000000      .383700   -.00100   .19700
740422    2442159.500000000000      .380200   -.00200   .19800
740423    2442160.500000000000      .376700   -.00300   .19800
740424    2442161.500000000000      .373200   -.00400   .19900
740425    2442162.500000000000      .369600   -.00500   .19900
740426    2442163.500000000000      .366100   -.00600   .20000
740427    2442164.500000000000      .362600   -.00700   .20000
740428    2442165.500000000000      .359200   -.00700   .20000
740429    2442166.500000000000      .355800   -.00800   .20100
740430    2442167.500000000000      .352400   -.00900   .20100
740501    2442168.500000000000      .349000   -.01000   .20200
740502    2442169.500000000000      .345600   -.01100   .20200
740503    2442170.500000000000      .342400   -.01200   .20200
740504    2442171.500000000000      .339200   -.01300   .20300
740505    2442172.500000000000      .335900   -.01400   .20300
740506    2442173.500000000000      .332700   -.01500   .20300
740507    2442174.500000000000      .329500   -.01600   .20400
740508    2442175.500000000000      .326400   -.01600   .20400
740509    2442176.500000000000      .323300   -.01700   .20400
740510    2442177.500000000000      .320100   -.01800   .20400
740511    2442178.500000000000      .317000   -.01900   .20500
740512    2442179.500000000000      .313900   -.02000   .20500
740513    2442180.500000000000      .310900   -.02100   .20500
740514    2442181.500000000000      .307900   -.02100   .20600
740515    2442182.500000000000      .305000   -.02200   .20600
740516    2442183.500000000000      .302000   -.02200   .20600
740517    2442184.500000000000      .299000   -.02300   .20700
740518    2442185.500000000000      .296000   -.02300   .20700
740519    2442186.500000000000      .293000   -.02400   .20700
740520    2442187.500000000000      .290000   -.02400   .20700
740521    2442188.500000000000      .287000   -.02500   .20800
740522    2442189.500000000000      .284000   -.02500   .20800
740523    2442190.500000000000      .281000   -.02500   .20800
740524    2442191.500000000000      .277900   -.02600   .20900
740525    2442192.500000000000      .274900   -.02600   .20900
740526    2442193.500000000000      .271800   -.02600   .20900
740527    2442194.500000000000      .268800   -.02700   .21000
740528    2442195.500000000000      .265900   -.02700   .21000
740529    2442196.500000000000      .263000   -.02700   .21000
